temp,press,v_f,v_g,u_f,u_g,h_f,h_fg,h_g,s_f,s_g,temp2
36.0,0.05947,1.0063,23.94,150.85,2424.7,150.86,2416.2,2567.1,0.5188,8.3336,36.0
38.0,0.06632,1.0071,21.602,159.2,2427.4,159.21,2411.5,2570.7,0.5458,8.295,38.0
40.0,0.07384,1.0078,19.523,167.56,2430.1,167.57,2406.7,2574.3,0.5725,8.257,40.0
45.0,0.09593,1.0099,15.258,188.44,2436.8,188.45,2394.8,2583.2,0.6387,8.1648,45.0
50.0,0.1235,1.0121,12.032,209.32,2443.5,209.33,2382.7,2592.1,0.7038,8.0763,50.0
55.0,0.1576,1.0146,9.568,230.21,2450.1,230.23,2370.7,2600.9,0.7679,7.9913,55.0
60.0,0.1994,1.0172,7.671,251.11,2456.6,251.13,2358.5,2609.6,0.8312,7.9096,60.0
65.0,0.2503,1.0199,6.197,272.02,2463.1,272.06,2346.2,2618.3,0.8935,7.831,65.0
70.0,0.3119,1.0228,5.042,292.95,2469.6,292.98,2333.8,2626.8,0.9549,7.7553,70.0
75.0,0.3858,1.0259,4.131,313.9,2475.9,313.93,2321.4,2635.3,1.0155,7.6824,75.0
80.0,0.4739,1.0291,3.407,334.86,2482.2,334.91,2308.8,2643.7,1.0753,7.6122,80.0
85.0,0.5783,1.0325,2.828,355.84,2488.4,355.9,2296.0,2651.9,1.1343,7.5445,85.0
90.0,0.7014,1.036,2.361,376.85,2494.5,376.92,2283.2,2660.1,1.1925,7.4791,90.0
95.0,0.8455,1.0397,1.982,397.88,2500.6,397.96,2270.2,2668.1,1.25,7.4159,95.0
100.0,1.014,1.0435,1.673,418.94,2506.5,419.04,2257.0,2676.1,1.3069,7.3549,100.0
110.0,1.433,1.0516,1.21,461.14,2518.1,461.3,2230.2,2691.5,1.4185,7.2387,110.0
120.0,1.985,1.0603,0.8919,503.5,2529.3,503.71,2202.6,2706.3,1.5276,7.1296,120.0
130.0,2.701,1.0697,0.6685,546.02,2539.9,546.31,2174.2,2720.5,1.6344,7.0269,130.0
140.0,3.613,1.0797,0.5089,588.74,2550.0,589.13,2144.7,2733.9,1.7391,6.9299,140.0
150.0,4.758,1.0905,0.3928,631.68,2559.5,632.2,2114.3,2746.5,1.8418,6.8379,150.0
160.0,6.178,1.102,0.3071,674.86,2568.4,675.55,2082.6,2758.1,1.9427,6.7502,160.0
170.0,7.917,1.1143,0.2428,718.33,2576.5,719.21,2049.5,2768.7,2.0419,6.6663,170.0
180.0,10.02,1.1274,0.1941,762.09,2583.7,763.22,2015.0,2778.2,2.1396,6.5857,180.0
190.0,12.54,1.1414,0.1565,806.19,2590.0,807.62,1978.8,2786.4,2.2359,6.5079,190.0
200.0,15.54,1.1565,0.1274,850.65,2595.3,852.45,1940.7,2793.2,2.3309,6.4323,200.0
210.0,19.06,1.1726,0.1044,895.53,2599.5,897.76,1900.7,2798.5,2.4248,6.3585,210.0
220.0,23.18,1.19,0.08619,940.87,2602.4,943.62,1858.5,2802.1,2.5178,6.2861,220.0
230.0,27.95,1.2088,0.07158,986.74,2603.9,990.12,1813.8,2804.0,2.6099,6.2146,230.0
240.0,33.44,1.2291,0.05976,1033.2,2604.0,1037.3,1766.5,2803.8,2.7015,6.1437,240.0
250.0,39.73,1.2512,0.05013,1080.4,2602.4,1085.4,1716.2,2801.5,2.7927,6.073,250.0
260.0,46.88,1.2755,0.04221,1128.4,2599.0,1134.4,1662.5,2796.6,2.8838,6.0019,260.0
270.0,54.99,1.3023,0.03564,1177.4,2593.7,1184.5,1605.2,2789.7,2.9751,5.9301,270.0
280.0,64.12,1.3321,0.03017,1227.5,2586.1,1236.0,1543.6,2779.6,3.0668,5.8571,280.0
290.0,74.36,1.3656,0.02557,1278.9,2576.0,1289.1,1477.1,2766.2,3.1594,5.7821,290.0
300.0,85.81,1.4036,0.02167,1332.0,2563.0,1344.0,1404.9,2749.0,3.2534,5.7045,300.0
320.0,112.7,1.4988,0.01549,1444.6,2525.5,1461.5,1238.6,2700.1,3.448,5.5362,320.0
340.0,145.9,1.6379,0.0108,1570.3,2464.6,1594.2,1027.9,2622.0,3.6594,5.3357,340.0
360.0,186.5,1.8925,0.006945,1725.2,2351.5,1760.5,720.5,2481.0,3.9147,5.0526,360.0
374.14,220.9,3.155,0.003155,2029.6,2029.6,2099.3,0.0,2099.3,4.4298,4.4298,374.14
